student_id,age,session_id,attempt_date,question_id,subject,question_text,student_answer,correct_answer,is_correct,time_taken
S002,10,Session3,2025-02-01,Q117,History,In which year did World War II end?,1945,1945,1,56
S002,10,Session3,2025-02-01,Q118,History,Which empire was ruled by Julius Caesar?,Roman Empire,Roman Empire,1,60
S002,10,Session4,2025-02-01,Q119,Math,What is 44 + 37?,81,81,1,93
S002,10,Session4,2025-02-01,Q120,Math,What is 31 + 34?,65,65,1,28
S002,10,Session4,2025-02-01,Q121,History,Which empire was ruled by Julius Caesar?,No idea,Roman Empire,0,47
S002,10,Session4,2025-02-01,Q122,English,Identify the noun in the sentence: 'The cat slept.',IDK,cat,0,57
S002,10,Session4,2025-02-01,Q123,History,What wall fell in 1989 reuniting Germany?,Berlin Wall,Berlin Wall,1,87
S002,10,Session5,2025-02-04,Q124,English,Identify the noun in the sentence: 'The cat slept.',IDK,cat,0,115
S002,10,Session5,2025-02-04,Q125,Math,What is 10 × 9?,90,90,1,35
S002,10,Session5,2025-02-04,Q126,History,Who was the first President of the United States?,George Washington,George Washington,1,25
S002,10,Session5,2025-02-04,Q127,Math,What is 41 + 39?,79,80,0,44
S002,10,Session5,2025-02-04,Q128,Math,What is 8 × 3?,24,24,1,15
S002,10,Session5,2025-02-04,Q129,Science,What organ pumps blood around the body?,"I'm not sure, maybe Heart",Heart,0,95
S002,10,Session5,2025-02-04,Q130,English,What punctuation ends a question?,IDK,question mark,0,36
S002,10,Session6,2025-02-05,Q131,History,Who discovered America in 1492?,I don't know,Christopher Columbus,0,115
S002,10,Session6,2025-02-05,Q132,Math,What is 73 - 11?,63,62,0,110
S002,10,Session6,2025-02-05,Q133,Math,What is 58 - 19?,39,39,1,97
S002,10,Session6,2025-02-05,Q134,History,Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc,1,42
S002,10,Session6,2025-02-05,Q135,Science,What force keeps us on the ground?,Gravity,Gravity,1,93
S002,10,Session6,2025-02-05,Q136,History,What ship famously sank in 1912?,Titanic,Titanic,1,105
S002,10,Session7,2025-02-11,Q137,Science,What natural satellite orbits the Earth?,I don't know,Moon,0,116
S002,10,Session7,2025-02-11,Q138,History,In which year did World War II end?,1945,1945,1,92
S002,10,Session7,2025-02-11,Q139,Math,What is 53 - 11?,42,42,1,15
S002,10,Session7,2025-02-11,Q140,History,Who was known as the Maid of Orléans?,Joan of arc,Joan of Arc,1,67
S002,10,Session7,2025-02-11,Q141,Math,What is 3 × 5?,16,15,0,34
S002,10,Session8,2025-02-11,Q142,Math,What is 3 × 9?,27,27,1,6
S002,10,Session8,2025-02-11,Q143,English,What is a synonym for 'big'?,large,large,1,66
S002,10,Session8,2025-02-11,Q144,Science,What is H2O commonly known as?,Water,Water,1,68
S002,10,Session8,2025-02-11,Q145,Science,What force keeps us on the ground?,Gravity,Gravity,1,22
S002,10,Session8,2025-02-11,Q146,English,What is the opposite of 'cold'?,hot,hot,1,49
S002,10,Session8,2025-02-11,Q147,English,What punctuation ends a question?,question mark,question mark,1,30
S002,10,Session8,2025-02-11,Q148,History,In which year did World War II end?,1945,1945,1,68
S002,10,Session8,2025-02-11,Q149,Math,What is 8 × 6?,48,48,1,104
S002,10,Session9,2025-02-13,Q150,History,What wall fell in 1989 reuniting Germany?,"I'm not sure, maybe Berlin Wall",Berlin Wall,0,107
S002,10,Session9,2025-02-13,Q151,English,"Which word is an adjective: 'happy', 'run', or 'quickly'?",I'm guessing,happy,0,37
S002,10,Session9,2025-02-13,Q152,Science,What gas do plants breathe in that humans and animals breathe out?,No idea,Carbon dioxide,0,105
S002,10,Session9,2025-02-13,Q153,History,Who was the first President of the United States?,I don't know,George Washington,0,42
S002,10,Session9,2025-02-13,Q154,English,What punctuation ends a question?,question mark,question mark,1,74
S002,10,Session9,2025-02-13,Q155,English,What is the opposite of 'cold'?,IDK,hot,0,111
S002,10,Session9,2025-02-13,Q156,Science,At what temperature (°C) does water freeze?,No idea,0,0,100
S002,10,Session9,2025-02-13,Q157,English,Identify the noun in the sentence: 'The cat slept.',-,cat,0,23
S002,10,Session9,2025-02-13,Q158,Science,What vitamin do we get from sunlight?,No idea,Vitamin D,0,16
S002,10,Session10,2025-02-18,Q159,English,What is the opposite of 'cold'?,hot,hot,1,81
S002,10,Session10,2025-02-18,Q160,History,Who was known as the Maid of Orléans?,Joan of Arc,Joan of Arc,1,5
S002,10,Session10,2025-02-18,Q161,English,"Which is a verb: 'swim', 'blue', or 'quick'?",swim,swim,1,100
S002,10,Session10,2025-02-18,Q162,History,In which year did World War II end?,1945,1945,1,43
S002,10,Session10,2025-02-18,Q163,Math,What is 16 + 35?,51,51,1,90
S002,10,Session11,2025-02-27,Q164,History,Who wrote the play 'Romeo and Juliet'?,"I'm not sure, maybe William Shakespeare",William Shakespeare,0,58
S002,10,Session11,2025-02-27,Q165,Math,What is 98 - 14?,85,84,0,9
S002,10,Session11,2025-02-27,Q166,English,"Which word is an adjective: 'happy', 'run', or 'quickly'?",Happy,happy,1,102
S002,10,Session11,2025-02-27,Q167,English,What is the past tense of 'go'?,went,went,1,20
S002,10,Session11,2025-02-27,Q168,History,In which year did World War II end?,1945,1945,1,81
S002,10,Session11,2025-02-27,Q169,Math,What is 51 - 5?,45,46,0,13
S002,10,Session11,2025-02-27,Q170,Science,What is the largest planet in our solar system?,Jupiter,Jupiter,1,47
S002,10,Session11,2025-02-27,Q171,Math,What is 38 - 5?,33,33,1,18
S002,10,Session11,2025-02-27,Q172,Science,What planet is known as the Red Planet?,Mars,Mars,1,74
S002,10,Session12,2025-03-01,Q173,History,What is the capital of France?,Paris,Paris,1,62
S002,10,Session12,2025-03-01,Q174,Math,What is 84 - 8?,74,76,0,98
S002,10,Session12,2025-03-01,Q175,English,What do we call words that sound the same but have different meanings?,-,homonyms,0,12
S002,10,Session12,2025-03-01,Q176,History,What ship famously sank in 1912?,Titanic,Titanic,1,96
S002,10,Session12,2025-03-01,Q177,Math,What is 21 + 39?,60,60,1,66
S002,10,Session12,2025-03-01,Q178,English,What punctuation ends a question?,I'm guessing,question mark,0,42
S002,10,Session13,2025-03-05,Q179,History,In which year did World War II end?,"I'm not sure, maybe 1945",1945,0,88
S002,10,Session13,2025-03-05,Q180,Science,What vitamin do we get from sunlight?,Vitamin D,Vitamin D,1,48
S002,10,Session13,2025-03-05,Q181,History,What ship famously sank in 1912?,No idea,Titanic,0,90
S002,10,Session13,2025-03-05,Q182,English,What is a synonym for 'big'?,I'm guessing,large,0,65
S002,10,Session13,2025-03-05,Q183,Math,What is 6 + 6?,12,12,1,52
S002,10,Session13,2025-03-05,Q184,Math,What is 10 × 10?,100,100,1,50
S002,10,Session13,2025-03-05,Q185,History,Who was the first President of the United States?,No idea,George Washington,0,18
S002,10,Session13,2025-03-05,Q186,Science,What is H2O commonly known as?,"I'm not sure, maybe Water",Water,0,18
S002,10,Session13,2025-03-05,Q187,English,What is the opposite of 'cold'?,hot,hot,1,64
S002,10,Session14,2025-03-14,Q188,Math,What is 12 × 6?,72,72,1,91
S002,10,Session14,2025-03-14,Q189,English,What is the past tense of 'go'?,went,went,1,84
S002,10,Session14,2025-03-14,Q190,Math,What is 48 + 34?,82,82,1,38
S002,10,Session14,2025-03-14,Q191,English,"Which is a verb: 'swim', 'blue', or 'quick'?",Swim,swim,1,5
S002,10,Session14,2025-03-14,Q192,Math,What is 3 × 6?,18,18,1,73
S002,10,Session14,2025-03-14,Q193,Science,What natural satellite orbits the Earth?,Moon,Moon,1,22
S002,10,Session14,2025-03-14,Q194,History,What is the capital of France?,Paris,Paris,1,55
S002,10,Session14,2025-03-14,Q195,Math,What is 14 + 20?,33,34,0,102
S002,10,Session14,2025-03-14,Q196,English,Finish the proverb: 'A stitch in time saves ____.',nine,nine,1,95
S002,10,Session15,2025-03-20,Q197,Science,What natural satellite orbits the Earth?,Moon,Moon,1,48
S002,10,Session15,2025-03-20,Q198,History,Who was the first President of the United States?,George Washington,George Washington,1,26
S002,10,Session15,2025-03-20,Q199,History,What ship famously sank in 1912?,Titanic,Titanic,1,26
S002,10,Session15,2025-03-20,Q200,History,Who was known as the Maid of Orléans?,Joan of arc,Joan of Arc,1,23
S002,10,Session15,2025-03-20,Q201,Math,What is 59 - 11?,48,48,1,10
S002,10,Session15,2025-03-20,Q202,Science,What part of the plant conducts photosynthesis?,Leaf,Leaf,1,87
S002,10,Session15,2025-03-20,Q203,Science,What gas do plants breathe in that humans and animals breathe out?,Carbon dioxide,Carbon dioxide,1,79
S002,10,Session15,2025-03-20,Q204,Science,What organ pumps blood around the body?,Heart,Heart,1,60
S002,10,Session15,2025-03-20,Q205,English,What is a synonym for 'big'?,large,large,1,52
S002,10,Session15,2025-03-20,Q206,Math,What is 84 - 3?,81,81,1,5
S002,10,Session16,2025-03-27,Q207,History,Which empire was ruled by Julius Caesar?,,Roman Empire,0,119
S002,10,Session16,2025-03-27,Q208,Math,What is 93 - 7?,86,86,1,24
S002,10,Session16,2025-03-27,Q209,History,In which year did World War II end?,,1945,0,15
S002,10,Session16,2025-03-27,Q210,Science,What planet is known as the Red Planet?,Mars,Mars,1,41
S002,10,Session16,2025-03-27,Q211,Science,What part of the plant conducts photosynthesis?,Leaf,Leaf,1,57
S003,12,Session1,2025-01-09,Q212,History,What ancient civilization built the pyramids?,Egyptians,Egyptians,1,33
S003,12,Session1,2025-01-09,Q213,Science,What natural satellite orbits the Earth?,Moon,Moon,1,58
S003,12,Session1,2025-01-09,Q214,English,What is the plural of 'child'?,IDK,children,0,103
S003,12,Session1,2025-01-09,Q215,History,Who discovered America in 1492?,Christopher Columbus,Christopher Columbus,1,10
S003,12,Session1,2025-01-09,Q216,Math,What is 7 × 11?,77,77,1,5
S003,12,Session1,2025-01-09,Q217,Science,What organ pumps blood around the body?,Heart,Heart,1,82
S003,12,Session1,2025-01-09,Q218,English,What do we call words that sound the same but have different meanings?,homonyms,homonyms,1,108
S003,12,Session2,2025-01-11,Q219,English,"Which is a verb: 'swim', 'blue', or 'quick'?",IDK,swim,0,103
S003,12,Session2,2025-01-11,Q220,English,What punctuation ends a question?,question mark,question mark,1,25
S003,12,Session2,2025-01-11,Q221,Science,At what temperature (°C) does water freeze?,0,0,1,48
S003,12,Session2,2025-01-11,Q222,Math,What is 30 - 6?,24,24,1,23
S003,12,Session2,2025-01-11,Q223,Math,What is 29 + 23?,54,52,0,11
S003,12,Session2,2025-01-11,Q224,History,What is the capital of France?,Paris,Paris,1,14
S003,12,Session3,2025-01-13,Q225,English,What is the plural of 'child'?,children,children,1,106
S003,12,Session3,2025-01-13,Q226,History,Which empire was ruled by Julius Caesar?,Roman empire,Roman Empire,1,5
S003,12,Session3,2025-01-13,Q227,History,In which year did World War II end?,"I'm not sure, maybe 1945",1945,0,20
S003,12,Session3,2025-01-13,Q228,Math,What is 27 + 41?,70,68,0,13
S003,12,Session3,2025-01-13,Q229,Math,What is 96 - 18?,78,78,1,35
S003,12,Session4,2025-01-19,Q230,English,"Which word is an adjective: 'happy', 'run', or 'quickly'?",happy,happy,1,78
S003,12,Session4,2025-01-19,Q231,Math,What is 10 × 10?,98,100,0,54
S003,12,Session4,2025-01-19,Q232,History,Who was the first President of the United States?,No idea,George Washington,0,100
S003,12,Session4,2025-01-19,Q233,Math,What is 28 - 12?,16,16,1,18
S003,12,Session4,2025-01-19,Q234,English,What is the plural of 'child'?,children,children,1,94
S003,12,Session5,2025-01-20,Q235,Science,What is H2O commonly known as?,Water,Water,1,56
S003,12,Session5,2025-01-20,Q236,Math,What is 3 + 21?,26,24,0,109
S003,12,Session5,2025-01-20,Q237,History,What wall fell in 1989 reuniting Germany?,Berlin Wall,Berlin Wall,1,39
S003,12,Session5,2025-01-20,Q238,English,Finish the proverb: 'A stitch in time saves ____.',nine,nine,1,103
S003,12,Session5,2025-01-20,Q239,History,Who was known as the Maid of Orléans?,No idea,Joan of Arc,0,52
S003,12,Session5,2025-01-20,Q240,English,Identify the noun in the sentence: 'The cat slept.',cat,cat,1,82
S003,12,Session5,2025-01-20,Q241,Science,What natural satellite orbits the Earth?,Moon,Moon,1,36
S003,12,Session5,2025-01-20,Q242,History,Who wrote the play 'Romeo and Juliet'?,William Shakespeare,William Shakespeare,1,59
S003,12,Session6,2025-02-02,Q243,History,What wall fell in 1989 reuniting Germany?,Berlin Wall,Berlin Wall,1,5
S003,12,Session6,2025-02-02,Q244,English,What is the opposite of 'cold'?,I'm guessing,hot,0,25
S003,12,Session6,2025-02-02,Q245,Math,What is 39 + 44?,83,83,1,5
S003,12,Session6,2025-02-02,Q246,English,What punctuation ends a question?,-,question mark,0,82
S003,12,Session6,2025-02-02,Q247,Science,What organ pumps blood around the body?,I don't know,Heart,0,78
S003,12,Session6,2025-02-02,Q248,Science,What natural satellite orbits the Earth?,Moon,Moon,1,36
S003,12,Session6,2025-02-02,Q249,Math,What is 4 × 9?,36,36,1,11
S003,12,Session7,2025-02-06,Q250,English,What do we call words that sound the same but have different meanings?,homonyms,homonyms,1,5
S003,12,Session7,2025-02-06,Q251,Math,What is 7 × 12?,84,84,1,64
S003,12,Session7,2025-02-06,Q252,Science,What is H2O commonly known as?,I don't know,Water,0,30
S003,12,Session7,2025-02-06,Q253,Science,What force keeps us on the ground?,"I'm not sure, maybe Gravity",Gravity,0,75
S003,12,Session7,2025-02-06,Q254,English,What do we call words that sound the same but have different meanings?,I'm guessing,homonyms,0,21
S003,12,Session7,2025-02-06,Q255,Math,What is 20 + 26?,48,46,0,72
S003,12,Session8,2025-02-12,Q256,Math,What is 21 + 42?,63,63,1,53
S003,12,Session8,2025-02-12,Q257,Science,What is H2O commonly known as?,Water,Water,1,12
S003,12,Session8,2025-02-12,Q258,Science,At what temperature (°C) does water freeze?,0,0,1,78
S003,12,Session8,2025-02-12,Q259,English,Identify the noun in the sentence: 'The cat slept.',cat,cat,1,65
S003,12,Session8,2025-02-12,Q260,Math,What is 12 × 4?,48,48,1,6
S003,12,Session8,2025-02-12,Q261,English,"Which is a verb: 'swim', 'blue', or 'quick'?",Swim,swim,1,5
S003,12,Session8,2025-02-12,Q262,English,"Which word is an adjective: 'happy', 'run', or 'quickly'?",IDK,happy,0,84
S003,12,Session8,2025-02-12,Q263,Math,What is 100 - 18?,82,82,1,53
S003,12,Session9,2025-02-12,Q264,Math,What is 29 + 27?,56,56,1,71
S003,12,Session9,2025-02-12,Q265,English,What punctuation ends a question?,question mark,question mark,1,68
S003,12,Session9,2025-02-12,Q266,History,In which year did World War II end?,1945,1945,1,5
S003,12,Session9,2025-02-12,Q267,History,Who discovered America in 1492?,No idea,Christopher Columbus,0,78
S003,12,Session9,2025-02-12,Q268,English,"Which word is an adjective: 'happy', 'run', or 'quickly'?",IDK,happy,0,70
S003,12,Session10,2025-02-12,Q269,History,Who was the first President of the United States?,George Washington,George Washington,1,63
S003,12,Session10,2025-02-12,Q270,Science,What is the largest planet in our solar system?,Jupiter,Jupiter,1,52
S003,12,Session10,2025-02-12,Q271,English,What is the opposite of 'cold'?,hot,hot,1,22
S003,12,Session10,2025-02-12,Q272,English,What punctuation ends a question?,question mark,question mark,1,65
S003,12,Session10,2025-02-12,Q273,English,Identify the noun in the sentence: 'The cat slept.',cat,cat,1,55
S003,12,Session10,2025-02-12,Q274,Math,What is 7 + 26?,33,33,1,76
S003,12,Session10,2025-02-12,Q275,Science,What force keeps us on the ground?,Gravity,Gravity,1,5
S003,12,Session11,2025-02-19,Q276,History,What ancient civilization built the pyramids?,Egyptians,Egyptians,1,46
S003,12,Session11,2025-02-19,Q277,English,What is the plural of 'child'?,children,children,1,101
S003,12,Session11,2025-02-19,Q278,History,Who wrote the play 'Romeo and Juliet'?,William shakespeare,William Shakespeare,1,48
S003,12,Session11,2025-02-19,Q279,History,Who wrote the play 'Romeo and Juliet'?,William shakespeare,William Shakespeare,1,115
S003,12,Session11,2025-02-19,Q280,History,What wall fell in 1989 reuniting Germany?,,Berlin Wall,0,78
S003,12,Session11,2025-02-19,Q281,Science,What planet is known as the Red Planet?,Mars,Mars,1,85
S003,12,Session11,2025-02-19,Q282,History,What ancient civilization built the pyramids?,"I'm not sure, maybe Egyptians",Egyptians,0,78
S003,12,Session11,2025-02-19,Q283,Math,What is 2 + 29?,31,31,1,76
S003,12,Session12,2025-03-13,Q284,Math,What is 4 × 10?,40,40,1,76
